year,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,Total!!Estimate!!Population 18 to 24 years!!Bachelor's degree or higher,Total!!Estimate!!Population 25 to 34 years!!Bachelor's degree or higher,Total!!Estimate!!Population 35 to 44 years!!Bachelor's degree or higher,Total!!Estimate!!Population 45 to 64 years!!Bachelor's degree or higher,Total!!Estimate!!Population 65 years and over!!Bachelor's degree or higher
2017,Wisconsin,56759,74372,5763217,5632126,4950577,365884,152325,155747,12.3,4.7,1442264,60997,252513,237016,439879,205073
2017,Wyoming,60938,76731,583200,567883,532394,6121,5102,12807,11.1,4.7,147269,3682,22664,19885,39631,21774
2017,Puerto Rico,19775,31672,3468963,3258944,2389446,338939,7789,null,44.9,17.5,872371,26581,129759,136709,236198,93103
2018,Alabama,48486,67243,4864680,4773061,3317453,1293186,64609,105024,17.5,6.6,1182234,34045,167325,169324,318617,167329
2018,Alaska,76715,96499,738516,676055,478834,24129,46556,24617,10.8,7.4,187142,5079,31013,29121,55226,24285
2018,Arizona,56213,77221,6946685,6693802,5364141,305259,228887,538326,16.1,6.5,1764220,52374,263478,259548,482104,332941
2018,Arkansas,45726,64272,2990671,2914819,2302874,460970,43988,96818,17.6,5.5,737199,22634,98455,94527,163828,94811
2018,California,71228,101493,39148760,37266533,23529068,2267875,5604339,5184310,14.3,6.7,10468812,398121,2093454,1864574,3119659,1641050
2018,Colorado,68811,92520,5531141,5333813,4655584,227938,172695,318943,10.9,4.7,1396806,63500,345567,327315,557686,274324
2018,Connecticut,76106,109693,3581504,3468074,2734880,378262,158817,250818,10,6.5,906545,54555,190133,188343,398377,188374
2018,Delaware,65627,86962,949495,923486,654905,209892,36723,45905,11.9,5.9,230566,8154,42110,38401,80117,46604
2018,District of Columbia,82604,121698,684498,664355,280469,321317,26718,55988,16.8,7.4,168529,17245,114415,62463,68567,34904
2018,Florida,53267,76652,20598139,20055799,15529098,3316376,559168,1897939,14.8,6.3,4737877,160380,792325,796106,1568556,1126470
2018,Georgia,55679,78574,10297484,10045036,6079976,3239300,402501,591482,16,6.4,2755788,91307,450016,471616,818279,340205
2018,Hawaii,78084,99765,1422029,1080273,355612,26266,536842,109216,9.9,4.5,327620,10899,63529,65477,118226,73764
2018,Idaho,53089,70620,1687809,1641217,1527262,11536,23758,61275,13.8,4.7,449479,10220,57089,65617,106655,63908
2018,Illinois,63575,88857,12821497,12503084,9189185,1824125,690822,898381,13.1,6.6,3281552,163338,737351,641424,1091954,487062
2018,Indiana,54325,71912,6637426,6475131,5548277,619472,144991,207242,14.1,5.4,1680206,65499,262779,246357,429061,201711
2018,Iowa,58580,75951,3132499,3066729,2827889,109911,75083,100396,11.7,3.9,802285,35615,136597,129868,211272,109280
2018,Kansas,57422,77509,2908776,2807732,2460619,169801,83531,126705,12.4,4.4,778732,31921,136697,129717,236383,120279
2018,Kentucky,48392,67110,4440204,4340378,3866676,354112,62802,102677,17.9,6.1,1066088,36188,160057,156158,263220,130168
2018,Louisiana,47942,68823,4663616,4572053,2901106,1502916,79872,114528,19.4,6.9,1160552,33977,178675,153950,262856,142112
2018,Maine,55425,73210,1332813,1303605,1259217,17881,14917,21424,12.5,4.6,287204,11978,53555,53324,116610,75790
2018,Maryland,81868,107482,6003435,5804066,3373181,1788090,374277,440537,9.4,5.6,1544732,74467,348722,342708,643673,295462
2018,Massachusetts,77378,106627,6830193,6614700,5360006,510558,442574,533281,10.8,5.4,1734143,126537,500323,407217,769039,361123
2018,Michigan,54938,75352,9957488,9673770,7818588,1375424,304403,322866,15,6.5,2487658,101593,406910,392184,752925,385033
2018,Minnesota,68411,90600,5527358,5369591,4606044,342186,262359,228113,10.1,3.9,1396590,68715,309817,282225,498516,232224
2018,Mississippi,43567,60640,2988762,2948569,1751193,1125834,28313,43317,20.8,8.2,782219,19136,90045,91337,158678,89117
2018,Missouri,53560,73145,6090062,5934734,5008342,704896,116720,131589,14.2,5.1,1498474,58250,272864,249903,439408,218908
