YEAR,STATE,MEDIAN_INCOME,MEAN_INCOME,POP,ONE_RACE_POP,WHITE,BLACK,ASIAN,FOREIGN_BORN_NON_US,POVERTY_PERCENT,UNEMPLOYMENT_RATE,SCHOOL_ENROLLMENT,18_24_BACHELOR_HIGHER,25_34_BACHELOR_HIGHER,35_44_BACHELOR_HIGHER,45_64_BACHELOR_HIGHER,65_MORE_BACHELOR_HIGHER,STATE_ABBR,WHITE_PER_CAPITA,BLACK_PER_CAPITA,ASIAN_PER_CAPITA,ONE_RACE_RATIO,FOREIGN_BORN_NON_US_RATIO,SCHOOL_ENROLLMENT_RATE,BACHELOR_HIGHER_RATIO,ALL_HATE_CRIME,BLACK_HATE_CRIME,ASIAN_HATE_CRIME,ALL_HC_PER_CAPITA,BLACK_HC_PER_CAPITA_POP,BLACK_HC_PER_CAPITA_RACE_POP,ASIAN_HC_PER_CAPITA_POP,ASIAN_HC_PER_CAPITA_RACE_POP
2016,Arizona,51340,70432,6728577,6505998,5235158,287110,205229,536203.0,17.7,8.0,1750958,49428,238257,247374,460079,295715,AZ,77.80483154164692,4.2670240676446145,3.0501100009704873,96.69203458621341,7.969040110561268,26.022708813468288,19.18463591930359,215.0,83.0,11.0,2.1288562002194205,0.8218375098521484,2.63648243689754,0.10891822419727269,2.9413101665048944
2017,Arizona,53510,73735,6809946,6572038,5277661,292831,213417,536708.0,17.0,7.1,1751835,50643,251123,251804,469818,311912,AZ,77.49930763033952,4.300048781590926,3.1339015023026615,96.50646275315545,7.881237237417155,25.724653323242208,19.608084998030822,233.0,76.0,20.0,16.48188796136023,5.376066459499474,293.76521974411503,1.41475433144723,3.721878878895644
2018,Arizona,56213,77221,6946685,6693802,5364141,305259,228887,538326.0,16.1,6.5,1764220,52374,263478,259548,482104,332941,AZ,77.21871655329124,4.394311819234642,3.2949097303246075,96.35965931951715,7.74939413547613,25.396574049348718,20.01595005387462,159.0,48.0,13.0,9.721898668466746,2.934912805574867,460.0785967602799,0.7948722181765265,60.10171058714748
2019,Arizona,58945,80779,7050299,6787262,5444453,317462,233213,530908.0,15.1,5.9,1765901,57034,273553,269445,495960,355568,AZ,77.22300855609102,4.502816121699236,3.3078455254167234,96.26913695433342,7.5302905593081935,25.04717885014522,20.58863035454241,195.0,81.0,8.0,1.5173108831496325,0.6302675976160012,4.407894593635653,0.06224865161639518,1.219885971158846
2020,Arizona,61529,84380,7174064,6674467,5292498,325105,239190,518823.0,14.1,5.8,1760360,62697,288209,287406,510902,382181,AZ,73.77266218979925,4.531671309316449,3.3340934789541885,93.03606714409015,7.231926004563103,24.537835179613676,21.346269004569795,276.0,108.0,9.0,4.188432096865688,1.6389516900778778,17.75655759536751,0.13657930750648978,6.910743903188157
2016,Arkansas,42336,58850,2968472,2902393,2307136,460638,41539,94459.0,18.8,6.9,745905,21085,91457,91478,158741,82770,AR,77.72133272606243,15.51768047668969,1.3993394581454701,97.77397260273972,3.182074818290353,25.127574051565922,15.008765452394362,12.0,7.0,0.0,0.38627575131438374,0.22532752160005717,6.792687187051198,0.0,0.0
2017,Arkansas,43813,61330,2977944,2906122,2302141,459969,42368,96397.0,18.1,6.3,741993,21915,95778,92932,160419,88299,AR,77.30638991196611,15.445857947630984,1.422726552279022,97.58820179291484,3.237031992542506,24.91628452381912,15.424836732994308,24.0,6.0,1.0,0.8280739138775527,0.20701847846938817,3.577689528102751,0.03450307974489803,1.2885767669608919
2018,Arkansas,45726,64272,2990671,2914819,2302874,460970,43988,96818.0,17.6,5.5,737199,22634,98455,94527,163828,94811,AR,77.00191696111006,15.413597818014754,1.4708404903113714,97.46371299283673,3.237333695347967,24.64995313760691,15.857812510971616,22.0,8.0,0.0,0.4986413157421743,0.18132411481533614,2.2841349695353497,0.0,0.0
2019,Arkansas,47597,66557,2999370,2918833,2301044,459542,45504,96291.0,17.0,5.1,733114,23102,101064,97972,164437,99763,AR,76.71757735791182,15.321284136335297,1.5171185949049302,97.31486945591908,3.210374178577501,24.442266209237275,16.214671747733693,14.0,7.0,0.0,0.30135588623384785,0.15067794311692392,0.46847780184861343,0.0,0.0
2020,Arkansas,49475,69357,3011873,2891893,2269959,457840,46130,98118.0,16.1,5.2,725947,24597,104782,103690,168181,106042,AR,75.36702244749364,15.201172160977572,1.531605084278122,96.01643229976828,3.2577070812746753,24.10284231772057,16.84307406055966,50.0,26.0,0.0,3.759616158228709,1.9550004022789287,159.4798503342943,0.0,0.0
